,album,artist,duration,listeners,playcount,single_release,track-title,track_no
0,Scorpion,Drake,136,69548,229946,,Survival,1
1,Scorpion,Drake,238,108576,750236,,Nonstop,2
2,Scorpion,Drake,185,63287,255611,,Elevate,3
3,Scorpion,Drake,302,65061,273895,,Emotionless,4
4,Scorpion,Drake,199,235559,2144208,"16 Feb 2018, 20:15",God's Plan,5
5,Scorpion,Drake,214,82283,432575,,I'm Upset,6
6,Scorpion,Drake,195,59637,210660,,8 Out of 10,7
7,Scorpion,Drake,205,64982,361506,,Mob Ties,8
8,Scorpion,Drake,163,6189,32161,,Can't Take a Joke,9
9,Scorpion,Drake,216,5714,24236,,Sandra's Rose,10
10,Scorpion,Drake,223,37762,101435,,Talk Up,11
11,Scorpion,Drake,226,42580,133011,,Is There More,12
12,Scorpion,Drake,206,43410,162980,,Peak,1
13,Scorpion,Drake,247,49727,223128,,Summer Games,2
14,Scorpion,Drake,262,42720,171387,,Jaded,3
15,Scorpion,Drake,209,164666,1533816,"17 Apr 2018, 17:40",Nice for What,4
16,Scorpion,Drake,182,42374,173650,,Finesse,5
17,Scorpion,Drake,207,38773,131055,,Ratchet Happy Birthday,6
18,Scorpion,Drake,157,5164,28882,,That's How You Feel,7
19,Scorpion,Drake,162,41400,195205,,Blue Tint,8
20,Scorpion,Drake,217,164399,1380679,"23 Jul 2018, 16:20",In My Feelings,9
21,Scorpion,Drake,245,389,3596,,Don't Matter To Me,10
22,Scorpion,Drake,289,25850,70647,,After Dark,11
23,Scorpion,Drake,220,35918,115670,,Final Fantasy,12
24,Scorpion,Drake,309,32934,96627,,March 14,13
0,Stoney,Post Malone,233,45753,226709,,Broken Whiskey Glass,1
1,Stoney,Post Malone,207,50686,287036,,Big Lie,2
2,Stoney,Post Malone,234,74162,456623,,Deja Vu,3
3,Stoney,Post Malone,179,60529,407598,,No Option,4
4,Stoney,Post Malone,268,39657,199589,,Cold,5
5,Stoney,Post Malone,256,168825,1271861,,White Iverson,6
6,Stoney,Post Malone,224,143202,1077752,,I Fall Apart,7
7,Stoney,Post Malone,194,49810,304083,,Patient,8
8,Stoney,Post Malone,179,103497,832749,"17 May 2016, 00:06",Go Flex,9
9,Stoney,Post Malone,197,37192,191005,,Feel,10
10,Stoney,Post Malone,237,64840,403222,,Too Young,11
11,Stoney,Post Malone,220,168198,1339156,,Congratulations,12
12,Stoney,Post Malone,194,40872,220661,,Up There,13
13,Stoney,Post Malone,219,37968,212995,,"Yours Truly, Austin Post",14
0,DAMN.,Kendrick Lamar,118,171263,919280,,BLOOD.,1
1,DAMN.,Kendrick Lamar,185,270188,2659159,"21 Apr 2017, 21:32",DNA.,2
2,DAMN.,Kendrick Lamar,160,177837,1216739,,YAH.,3
3,DAMN.,Kendrick Lamar,208,200337,1622406,"25 Jul 2017, 22:29",ELEMENT.,4
4,DAMN.,Kendrick Lamar,214,168086,1129731,"25 Jul 2017, 22:26",FEEL.,5
5,DAMN.,Kendrick Lamar,227,14287,79620,,LOYALTY.,6
6,DAMN.,Kendrick Lamar,275,169357,1194023,"18 Apr 2017, 03:40",PRIDE.,7
7,DAMN.,Kendrick Lamar,177,342620,3626212,"31 Mar 2017, 02:43",HUMBLE.,8
8,DAMN.,Kendrick Lamar,307,156014,975458,"22 Apr 2017, 20:27",LUST.,9
9,DAMN.,Kendrick Lamar,213,13916,72405,,LOVE.,10
10,DAMN.,Kendrick Lamar,254,10162,47279,,XXX.,11
11,DAMN.,Kendrick Lamar,460,140218,801842,,FEAR.,12
12,DAMN.,Kendrick Lamar,248,136579,805898,,GOD.,13
13,DAMN.,Kendrick Lamar,248,135047,772763,"22 Jan 2018, 17:24",DUCKWORTH.,14
0,KOD,J. Cole,82,105658,511573,,Intro,1
1,KOD,J. Cole,191,72073,417357,"20 Apr 2018, 06:24",KOD,2
2,KOD,J. Cole,218,44364,201049,,Photograph,3
3,KOD,J. Cole,237,1117,3681,,The Cut Off,4
4,KOD,J. Cole,216,51945,316443,,ATM,5
5,KOD,J. Cole,133,45332,232533,,Motiv8,6
6,KOD,J. Cole,200,5452,36507,,Kevin's Heart,7
7,KOD,J. Cole,316,34472,142974,,BRACKETS,8
8,KOD,J. Cole,197,4888,22972,,Once an Addict (Interlude),9
9,KOD,J. Cole,257,945,3097,,FRIENDS,10
10,KOD,J. Cole,286,4796,22742,,Window Pain (Outro),11
11,KOD,J. Cole,190,3647,22425,,"1985 (Intro to ""The Fall Off"")",12
0,Kamikaze,Eminem,337,85758,466016,,The Ringer,1
1,Kamikaze,Eminem,226,71661,342298,,Greatest,2
2,Kamikaze,Eminem,244,5697,26766,,Lucky You,3
3,Kamikaze,Eminem,35,84676,277129,,Paul (Skit),4
4,Kamikaze,Eminem,222,59613,229374,,Normal,5
5,Kamikaze,Eminem,71,81927,256903,,Em Calls Paul (Skit),6
6,Kamikaze,Eminem,309,55390,224196,"02 Nov 2018, 14:22",Stepping Stone,7
7,Kamikaze,Eminem,288,4325,19005,,Not Alike,8
8,Kamikaze,Eminem,216,58995,264344,,Kamikaze,9
9,Kamikaze,Eminem,262,65228,352428,,Fall,10
10,Kamikaze,Eminem,150,4316,14129,,Nice Guy,11
11,Kamikaze,Eminem,142,2770,9626,,Good Guy,12
12,Kamikaze,Eminem,269,8940,49670,,Venom (Music From the Motion Picture),13
0,Red Pill Blues,Maroon 5,239,16169,55389,,Best 4 U,1
1,Red Pill Blues,Maroon 5,199,20210,118164,,What Lovers Do,2
2,Red Pill Blues,Maroon 5,190,68544,381210,,Wait,3
3,Red Pill Blues,Maroon 5,216,18859,84345,,Lips On You,4
4,Red Pill Blues,Maroon 5,196,14746,53039,,Bet My Heart,5
5,Red Pill Blues,Maroon 5,193,6298,19013,,Help Me Out,6
6,Red Pill Blues,Maroon 5,183,3179,9045,,Who I Am,7
7,Red Pill Blues,Maroon 5,210,4961,13536,,Whiskey,8
8,Red Pill Blues,Maroon 5,213,40153,211697,,Girls Like You,9
9,Red Pill Blues,Maroon 5,688,11052,36973,,Closure,10
