,Album,Artist,Duration,Listeners,PlayCount,Tag1,Tag2,Title,TrackNum,TrackRelease,album,artist,duration,listeners,playcount,single_release,track-title,track_no
0,,,,,,,,,,,Culture II,Migos,256,2964,8714,,Higher We Go (Intro),1
1,,,,,,,,,,,Culture II,Migos,293,26420,91144,"30 May 2018, 04:02",Supastars,2
2,,,,,,,,,,,Culture II,Migos,255,55135,281136,,Narcos,3
3,,,,,,,,,,,Culture II,Migos,251,25072,109135,,BBO (Bad Bitches Only),4
4,,,,,,,,,,,Culture II,Migos,287,10354,32288,,Auto Pilot,5
5,,,,,,,,,,,Culture II,Migos,276,75096,426929,,Walk It Talk It,6
6,,,,,,,,,,,Culture II,Migos,314,17725,57860,,Emoji A Chain,7
7,,,,,,,,,,,Culture II,Migos,259,14171,42163,,CC,8
8,,,,,,,,,,,Culture II,Migos,192,93569,623250,"20 Dec 2017, 22:59",Stir Fry,9
9,,,,,,,,,,,Culture II,Migos,245,16157,52176,,Too Much Jewelry,10
10,,,,,,,,,,,Culture II,Migos,181,22306,110613,,Gang Gang,11
11,,,,,,,,,,,Culture II,Migos,202,17818,86524,,White Sand,12
12,,,,,,,,,,,Culture II,Migos,230,14175,40141,,Crown the Kings,13
13,,,,,,,,,,,Culture II,Migos,269,12678,34469,,Flooded,14
14,,,,,,,,,,,Culture II,Migos,259,13145,36581,,Beast,15
15,,,,,,,,,,,Culture II,Migos,245,12555,43014,,Open It Up,16
16,,,,,,,,,,,Culture II,Migos,303,77766,466465,"30 Jan 2018, 04:39",MotorSport,17
17,,,,,,,,,,,Culture II,Migos,263,12051,36424,,Movin' Too Fast,18
18,,,,,,,,,,,Culture II,Migos,317,10835,31798,,Work Hard,19
19,,,,,,,,,,,Culture II,Migos,233,27116,143234,,Notice Me,20
20,,,,,,,,,,,Culture II,Migos,312,10708,37295,,Too Playa,21
21,,,,,,,,,,,Culture II,Migos,288,15252,56764,,Made Men,22
22,,,,,,,,,,,Culture II,Migos,295,9982,32214,,Top Down On Da NAWF,23
23,,,,,,,,,,,Culture II,Migos,283,1563,4494,,Culture National Anthem (Outro),24
0,,,,,,,,,,,Tha Carter V,Lil' Wayne,120,28984,47826,,I Love You Dwayne,1
1,,,,,,,,,,,Tha Carter V,Lil' Wayne,249,2795,7884,,Don't Cry,2
2,,,,,,,,,,,Tha Carter V,Lil' Wayne,189,38164,159747,,Dedicate,3
3,,,,,,,,,,,Tha Carter V,Lil' Wayne,194,44802,226286,,Uproar,4
4,,,,,,,,,,,Tha Carter V,Lil' Wayne,186,1263,3551,,Let It Fly,5
5,,,,,,,,,,,Tha Carter V,Lil' Wayne,193,33417,129890,,Can't Be Broken,6
6,,,,,,,,,,,Tha Carter V,Lil' Wayne,242,1018,2937,,Dark Side of the Moon,7
7,,,,,,,,,,,Tha Carter V,Lil' Wayne,324,1783,6404,,Mona Lisa,8
8,,,,,,,,,,,Tha Carter V,Lil' Wayne,216,1250,3373,,What About Me,9
9,,,,,,,,,,,Tha Carter V,Lil' Wayne,269,26060,77289,,Open Letter,10
10,,,,,,,,,,,Tha Carter V,Lil' Wayne,242,2355,8881,,Famous,11
11,,,,,,,,,,,Tha Carter V,Lil' Wayne,208,24283,67722,,Problems,12
12,,,,,,,,,,,Tha Carter V,Lil' Wayne,205,724,2090,,Dope Niggaz,13
13,,,,,,,,,,,Tha Carter V,Lil' Wayne,223,22672,64759,,Hittas,14
14,,,,,,,,,,,Tha Carter V,Lil' Wayne,262,21651,64641,,Took His Time,15
15,,,,,,,,,,,Tha Carter V,Lil' Wayne,223,21319,63890,,Open Safe,16
16,,,,,,,,,,,Tha Carter V,Lil' Wayne,280,575,1359,,Start This Shit Off Right,17
17,,,,,,,,,,,Tha Carter V,Lil' Wayne,214,19887,61781,,Demon,18
18,,,,,,,,,,,Tha Carter V,Lil' Wayne,212,19427,63884,,Mess,19
19,,,,,,,,,,,Tha Carter V,Lil' Wayne,207,706,1672,,Dope New Gospel,20
20,,,,,,,,,,,Tha Carter V,Lil' Wayne,249,17724,50262,,Perfect Strangers,21
21,,,,,,,,,,,Tha Carter V,Lil' Wayne,240,17814,56653,,Used 2,22
22,,,,,,,,,,,Tha Carter V,Lil' Wayne,316,18862,79529,,Let It All Work Out,23
0,,,,,,,,,,,Shawn Mendes,Shawn Mendes,211,110517,1413955,"24 Mar 2018, 17:20",In My Blood,1
1,,,,,,,,,,,Shawn Mendes,Shawn Mendes,164,46873,409631,"20 Jun 2018, 17:22",Nervous,2
2,,,,,,,,,,,Shawn Mendes,Shawn Mendes,201,68756,741212,,Lost in Japan,3
3,,,,,,,,,,,Shawn Mendes,Shawn Mendes,201,40087,328853,,Where Were You in the Morning?,4
4,,,,,,,,,,,Shawn Mendes,Shawn Mendes,0,30,202,,Like To Be You [feat. Julia Michaels],5
5,,,,,,,,,,,Shawn Mendes,Shawn Mendes,236,29172,280838,,Fallin' All in You,6
6,,,,,,,,,,,Shawn Mendes,Shawn Mendes,176,22419,180058,,Particular Taste,7
7,,,,,,,,,,,Shawn Mendes,Shawn Mendes,238,21689,185803,,Why,8
8,,,,,,,,,,,Shawn Mendes,Shawn Mendes,142,21175,194620,,Because I Had You,9
9,,,,,,,,,,,Shawn Mendes,Shawn Mendes,205,20023,160318,,Queen,10
10,,,,,,,,,,,Shawn Mendes,Shawn Mendes,0,54,416,,Youth [feat. Khalid],11
11,,,,,,,,,,,Shawn Mendes,Shawn Mendes,148,22018,210192,,Mutual,12
12,,,,,,,,,,,Shawn Mendes,Shawn Mendes,213,21447,185741,,Perfectly Wrong,13
13,,,,,,,,,,,Shawn Mendes,Shawn Mendes,170,19222,163355,,When You're Ready,14
0,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,273,22160,143901,,Sherane a.k.a Master Splinter's Daughter,1
1,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,307,47911,513067,,"Bitch, Don't Kill My Vibe",2
2,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,212,348629,3040243,"28 Jun 2013, 20:31",Backseat Freestyle,3
3,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,324,259654,1788407,,The Art of Peer Pressure,4
4,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,386,249519,1795997,"26 Dec 2012, 14:36",Money Trees,5
5,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,300,322442,2276800,"10 Mar 2013, 08:08",Poetic Justice,6
6,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,214,234177,1506966,,good kid,7
7,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,350,262332,1748875,"30 Jul 2013, 22:57",m.A.A.d city,8
8,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,313,255939,1919519,,Swimming Pools (Drank) (extended version),9
9,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,723,177594,1010802,"20 Nov 2013, 06:05","Sing About Me, I'm Dying of Thirst",10
10,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,443,115557,474017,,Real,11
11,,,,,,,,,,,"good kid, m.A.A.d city",Kendrick Lamar,248,128367,525335,,Compton,12
